Position,Flux 
8.54,1.00084
8.56,0.995268
8.58,0.993268
8.6,0.998495
8.62,0.997394
8.64,0.99982
8.66,1.00013
8.68,0.999789
8.7,0.999959
8.72,1.01593
8.74,0.997258
8.76,1.00119
8.78,0.974541
8.8,0.939168
8.82,0.986412
8.84,0.997837
8.86,1.01301
8.88,1.02566
8.9,1.00921
8.92,1.00053
8.94,0.998012
8.96,0.978119
8.98,0.970785
9,0.996281
9.02,1.00074
9.04,1.01854
9.06,1.01936
9.08,1.01216
9.1,0.998593
9.12,1.0181
9.14,1.01243
9.16,1.00295
9.18,0.964637
9.2,1.00235
9.22,1.00341
9.24,0.96094
9.26,0.987922
9.28,1.00671
9.3,0.987921
9.32,1.02194
9.34,1.00181
9.36,1.00033
9.38,0.99482
9.4,1.00167
9.42,0.999733
9.44,0.990191
9.46,0.996887
9.48,0.961995
9.5,0.95406
9.52,0.98499
9.54,0.982323
9.56,0.973366
9.58,0.98385
9.6,0.994236
9.62,1.02636
9.64,0.999164
9.66,1.01463
9.68,0.985526
9.7,0.999
9.72,1.02434
9.74,1.00923
9.76,0.995471
9.78,0.978789
9.8,0.993317
9.82,0.999894
9.84,0.978039
9.86,1.01277
9.88,1.00545
9.9,0.999983
9.92,0.993477
9.94,0.994334
9.96,1.01286
9.98,0.998041
10,1.0017
10.02,0.97354
10.04,1.01288
10.06,1.0191
10.08,1.03008
10.1,1.00536
10.12,1.00465
10.14,0.988694
10.16,0.986209
10.18,1.01196
10.2,0.986359
10.22,0.995319
10.24,1.04352
10.26,0.985695
10.28,0.9858
10.3,1.01256
10.32,1.01634
10.34,0.977906
10.36,0.975708
10.38,0.97626
10.4,1.01426
10.42,1.02553
10.44,0.980594
10.46,0.988625
10.48,0.993267
10.5,0.993212
10.52,0.972162
10.54,0.956883
10.56,1.01067
10.58,1.01117
10.6,0.986473
10.62,0.997756
10.64,1.03547
10.66,1.00228
10.68,1.004
10.7,1.01799
10.72,0.977709
10.74,1.01908
10.76,1.00218
10.78,1.00002
10.8,1.00415
10.82,1.01211
10.84,1.0041
10.86,0.984364
10.88,1.01865
10.9,0.992319
10.92,0.990188
10.94,0.984126
10.96,0.990608
10.98,1.03268
11,1.04976
11.02,1.00761
11.04,1.01874
11.06,1.0137
11.08,0.998469
11.1,1.02188
11.12,1.01036
11.14,0.994641
11.16,1.00568
11.18,0.999456
11.2,1.00176
11.22,0.973541
11.24,0.984522
11.26,0.962058
11.28,0.979255
11.3,0.973371
11.32,0.997055
11.34,1.03065
11.36,0.993755
11.38,1.00423
11.4,1.00261
11.42,0.999874
11.44,0.991995
11.46,1.02377
11.48,1.01969
11.5,1.01418
11.52,1.0019
11.54,1.01275
11.56,0.981705
11.58,0.998074
11.6,1.00156
11.62,1.01362
11.64,1.02397
11.66,0.99013
11.68,0.998005
11.7,1.0308
11.72,0.993028
11.74,0.981112
11.76,1.00199
11.78,0.999606
11.8,1.01991
11.82,0.998756
11.84,0.975247
11.86,0.966029
11.88,0.971242
11.9,0.996944
11.92,0.991278
11.94,0.990662
11.96,0.97086
11.98,0.996036
12,1.01364
12.02,1.0383
12.04,1.01682
12.06,1.04406
12.08,1.02596
12.1,0.990072
12.12,1.01441
12.14,0.996283
12.16,1.00469
12.18,0.99169
12.2,0.984019
12.22,1.00146
12.24,1.0142
12.26,0.99603
12.28,1.03182
12.3,1.02085
12.32,0.989479
12.34,0.984863
12.36,1.00677
12.38,1.0481
12.4,0.999856
12.42,0.993104
12.44,0.959049
12.46,0.976782
12.48,1.00156
12.5,0.986399
12.52,1.00852
12.54,1.01181
12.56,0.987641
12.58,1.00442
12.6,1.00512
12.62,1.00959
12.64,1.01539
12.66,1.0094
12.68,0.982445
12.7,1.01178
12.72,1.01546
12.74,0.991411
12.76,1.01257
12.78,1.00542
12.8,0.98051
12.82,1.01113
12.84,1.02232
12.86,0.997578
12.88,1.0142
12.9,1.00479
12.92,1.01656
12.94,1.01777
12.96,1.06045
12.98,1.2667
13,1.66825
13.02,1.66825
13.04,1.66825
13.06,1.66825
13.08,1.66825
13.1,1.66825
13.12,1.66825
13.14,1.66825
13.16,1.66825
13.18,1.66825
13.2,1.66825
13.22,1.66825
13.24,1.66825
13.26,1.66825
13.28,1.66825
13.3,1.66825
13.32,1.66825
13.34,1.66825
13.36,1.66825
13.38,1.66825
13.4,1.66825
13.42,1.66825
13.44,1.66825
13.46,1.66825
13.48,1.66825
13.5,1.66825
13.52,1.66825
13.54,1.66825
13.56,1.66825
13.58,1.66825
13.6,1.66825
13.62,1.66825
13.64,1.66825
13.66,1.66825
13.68,1.66825
13.7,1.66825
13.72,1.66825
13.74,1.66825
13.76,1.66825
13.78,1.66825
13.8,1.66825
13.82,1.66825
13.84,1.66825
13.86,1.66825
13.88,1.66825
13.9,1.66825
13.92,1.66825
13.94,1.66825
13.96,1.66825
13.98,1.66825
14,1.66825
14.02,1.66825
14.04,1.66825
14.06,1.66825
14.08,1.66825
14.1,1.66825
14.12,1.66825
14.14,1.66825
14.16,1.66825
14.18,1.66825
14.2,1.66825
14.22,1.66825
14.24,1.66825
14.26,1.66825
14.28,1.66825
14.3,1.66825
14.32,1.66825
14.34,1.66825
14.36,1.66825
14.38,1.66825
14.4,1.66825
14.42,1.66825
14.44,1.66825
14.46,1.66825
14.48,1.66825
14.5,1.66825
14.52,1.66825
14.54,1.66825
14.56,1.66825
14.58,1.66825
14.6,1.66825
14.62,1.66825
14.64,1.66825
14.66,1.66825
14.68,1.66825
14.7,1.66825
14.72,1.66825
14.74,1.66825
14.76,1.66825
14.78,1.66825
14.8,1.66825
14.82,1.66825
14.84,1.66825
14.86,1.66825
14.88,1.66825
14.9,1.66825
14.92,1.66825
14.94,1.66825
14.96,1.66825
14.98,1.66825
15,1.66825
15.02,1.66825
15.04,1.66825
15.06,1.66825
15.08,1.66825
15.1,1.66825
15.12,1.66825
15.14,1.66825
15.16,1.66825
15.18,1.66825
15.2,1.66825
15.22,1.66825
15.24,1.66825
15.26,1.66825
15.28,1.66825
15.3,1.66825
15.32,1.66825
15.34,1.66825
15.36,1.66825
15.38,1.66825
15.4,1.66825
15.42,1.66825
15.44,1.66825
15.46,1.66825
15.48,1.66825
15.5,1.66825
15.52,1.66825
15.54,1.66825
15.56,1.66825
15.58,1.66825
15.6,1.66825
15.62,1.66825
15.64,1.66825
15.66,1.66825
15.68,1.66825
15.7,1.66825
15.72,1.66825
15.74,1.66825
15.76,1.66825
15.78,1.66825
15.8,1.66825
15.82,1.66825
15.84,1.66825
15.86,1.66825
15.88,1.66825
15.9,1.66825
15.92,1.66825
15.94,1.66825
15.96,1.66825
15.98,1.66825
16,1.64739
16.02,1.65626
16.04,1.71003
16.06,1.76561
16.08,1.78936
16.1,1.84619
16.12,1.83053
16.14,1.89566
16.16,1.85461
16.18,1.84152
16.2,1.896
16.22,1.95288
16.24,1.93584
16.26,1.93095
16.28,1.95327
16.3,1.91149
16.32,1.91603
16.34,1.92461
16.36,1.9549
16.38,1.91585
16.4,1.9442
16.42,1.95239
16.44,1.95485
16.46,2.00093
16.48,2.05956
16.5,2.05215
16.52,2.05639
16.54,2.10809
16.56,2.04112
16.58,2.09781
16.6,2.12082
16.62,2.08472
16.64,2.09426
16.66,2.10942
16.68,2.11167
16.7,2.15981
16.72,2.17459
16.74,2.15196
16.76,2.16874
16.78,2.15065
16.8,2.17545
16.82,2.21237
16.84,2.21028
16.86,2.20479
16.88,2.21772
16.9,2.21655
16.92,2.3049
16.94,2.21102
16.96,2.25414
16.98,2.27927
17,2.24872
17.02,2.23315
17.04,2.29926
17.06,2.27787
17.08,2.30772
17.1,2.32558
17.12,2.2479
17.14,2.27215
17.16,2.23741
17.18,2.21312
17.2,2.20444
17.22,2.19306
17.24,2.21756
17.26,2.18521
17.28,2.2058
17.3,2.23919
17.32,2.22919
17.34,2.28192
17.36,2.22566
17.38,2.27675
17.4,2.30555
17.42,2.39256
17.44,2.34565
17.46,2.32159
17.48,2.31867
17.5,2.27552
17.52,2.29059
17.54,2.33078
17.56,2.27023
17.58,2.25035
17.6,2.30246
17.62,2.22695
17.64,2.22915
17.66,2.21583
17.68,2.20871
17.7,2.21682
17.72,2.20032
17.74,2.24537
17.76,2.19934
17.78,2.23526
17.8,2.25447
17.82,2.17504
17.84,2.17531
17.86,2.19975
17.88,2.19892
17.9,2.22663
17.92,2.21081
17.94,2.21409
17.96,2.19854
17.98,2.20197
18,2.19594
18.02,2.24127
18.04,2.21711
18.06,2.16992
18.08,2.15686
18.1,2.12462
18.12,2.12268
18.14,2.13029
18.16,2.17187
18.18,2.14692
18.2,2.10836
18.22,2.10686
18.24,2.15763
18.26,2.09837
18.28,2.10673
18.3,2.08958
18.32,2.06262
18.34,2.11324
18.36,2.16156
18.38,2.06145
18.4,2.03813
18.42,2.05894
18.44,2.03322
18.46,1.96063
18.48,1.94175
18.5,1.91442
18.52,1.88395
18.54,1.87893
18.56,1.87486
18.58,1.90398
18.6,1.95166
18.62,1.96622
18.64,1.94387
18.66,1.86431
18.68,1.86146
18.7,1.84789
18.72,1.83608
18.74,1.82188
18.76,1.84087
18.78,1.83317
18.8,1.89481
18.82,1.84897
18.84,1.81236
18.86,1.76454
18.88,1.7637
18.9,1.71227
18.92,1.75461
18.94,1.70288
18.96,1.70072
18.98,1.70639
19,1.69138
19.02,1.67291
19.04,1.67118
19.06,1.64612
19.08,1.68509
19.1,1.69507
19.12,1.64012
19.14,1.71842
19.16,1.64843
19.18,1.61623
19.2,1.57626
19.22,1.55685
19.24,1.53179
19.26,1.52848
19.28,1.51466
19.3,1.48096
19.32,1.47299
19.34,1.48335
19.36,1.47285
19.38,1.48192
19.4,1.43423
19.42,1.46715
19.44,1.41965
19.46,1.40834
19.48,1.36738
19.5,1.34625
19.52,1.40658
19.54,1.38783
19.56,1.2964
19.58,1.2763
19.6,1.27608
19.62,1.29712
19.64,1.26238
19.66,1.23791
19.68,1.27053
19.7,1.23247
19.72,1.2181
19.74,1.18167
19.76,1.15716
19.78,1.17125
19.8,1.12588
19.82,1.10438
19.84,1.06328
19.86,1.01464
19.88,0.971711
19.9,0.970211
19.92,0.954027
19.94,0.934601
19.96,0.88441
19.98,0.872831
20,0
