Position,Mean,Variance 
3.2136,0.800564,0.201039
3.2292,0.804153,0.202738
3.2448,0.807692,0.204373
3.2604,0.811213,0.205992
3.276,0.814768,0.207669
3.2916,0.818296,0.209317
3.3072,0.821795,0.210929
3.3228,0.825267,0.212511
3.3384,0.828741,0.214105
3.354,0.832233,0.215736
3.3696,0.835716,0.217362
3.3852,0.839204,0.219004
3.4008,0.84265,0.220594
3.4164,0.846097,0.222193
3.432,0.849564,0.223832
3.4476,0.853011,0.225449
3.4632,0.856452,0.227068
3.4788,0.859912,0.228723
3.4944,0.863359,0.230368
3.51,0.866796,0.232007
3.5256,0.870214,0.233624
3.5412,0.873654,0.235287
3.5568,0.877075,0.236928
3.5724,0.880461,0.238523
3.588,0.883855,0.240139
3.6036,0.88725,0.241767
3.6192,0.89061,0.243348
3.6348,0.893964,0.24493
3.6504,0.89733,0.246538
3.666,0.900696,0.248157
3.6816,0.904058,0.249778
3.6972,0.907398,0.251371
3.7128,0.910711,0.252932
3.7284,0.914033,0.254516
3.744,0.917355,0.256108
3.7596,0.920695,0.257737
3.7752,0.924031,0.259371
3.7908,0.92735,0.260984
3.8064,0.930666,0.262602
3.822,0.933957,0.264188
3.8376,0.937256,0.265795
3.8532,0.940535,0.267381
3.8688,0.943805,0.268958
3.8844,0.94704,0.270488
3.9,0.9503,0.272067
3.9156,0.953565,0.273664
3.9312,0.956834,0.275275
3.9468,0.960057,0.276819
3.9624,0.96328,0.278372
3.978,0.966506,0.279939
3.9936,0.969735,0.281519
4.0092,0.972944,0.283074
4.0248,0.976144,0.284622
4.0404,0.979301,0.286109
4.056,0.982465,0.287615
4.0716,0.985597,0.289079
4.0872,0.988722,0.290538
4.1028,0.991842,0.291998
4.1184,0.994943,0.293434
4.134,0.99801,0.294825
4.1496,1.00107,0.296212
4.1652,1.0041,0.297551
4.1808,1.0071,0.298864
4.1964,1.01012,0.300215
4.212,1.01311,0.301508
4.2276,1.0161,0.302831
4.2432,1.0191,0.304171
4.2588,1.02211,0.305535
4.2744,1.02511,0.306888
4.29,1.0281,0.308226
4.3056,1.03102,0.309475
4.3212,1.03396,0.310755
4.3368,1.03687,0.311999
4.3524,1.0398,0.313273
4.368,1.04274,0.314588
4.3836,1.04569,0.315916
4.3992,1.04867,0.317297
4.4148,1.05162,0.318637
4.4304,1.05453,0.319925
4.446,1.05746,0.321265
4.4616,1.06039,0.3226
4.4772,1.06332,0.323941
4.4928,1.06622,0.325237
4.5084,1.0691,0.326523
4.524,1.07198,0.327804
4.5396,1.07484,0.329064
4.5552,1.07769,0.330306
4.5708,1.08053,0.33154
4.5864,1.08334,0.332734
4.602,1.08613,0.333919
4.6176,1.08893,0.335105
4.6332,1.09171,0.336283
4.6488,1.09446,0.337405
4.6644,1.09716,0.338465
4.68,1.09987,0.339546
4.6956,1.10258,0.340638
4.7112,1.10527,0.341685
4.7268,1.10794,0.342722
4.7424,1.11057,0.343714
4.758,1.11322,0.344724
4.7736,1.11587,0.345755
4.7892,1.11851,0.346766
4.8048,1.12115,0.347787
4.8204,1.12376,0.348769
4.836,1.12636,0.349755
4.8516,1.12897,0.350746
4.8672,1.13159,0.351766
4.8828,1.13419,0.352771
4.8984,1.13677,0.353732
4.914,1.13936,0.354722
4.9296,1.14194,0.355716
4.9452,1.14449,0.356662
4.9608,1.14704,0.357608
4.9764,1.14961,0.3586
4.992,1.15216,0.359553
5.0076,1.15467,0.360469
5.0232,1.15717,0.361353
5.0388,1.15964,0.362213
5.0544,1.16212,0.363092
5.07,1.16457,0.363937
5.0856,1.16705,0.364827
5.1012,1.16953,0.365723
5.1168,1.17199,0.366593
5.1324,1.17446,0.367483
5.148,1.1769,0.36835
5.1636,1.17933,0.369192
5.1792,1.18178,0.370073
5.1948,1.18419,0.370897
5.2104,1.18661,0.371746
5.226,1.18901,0.372572
5.2416,1.1914,0.373385
5.2572,1.19376,0.374165
5.2728,1.19614,0.374965
5.2884,1.1985,0.375761
5.304,1.20084,0.376509
5.3196,1.20318,0.377274
5.3352,1.20553,0.378075
5.3508,1.20784,0.378804
5.3664,1.21016,0.379555
5.382,1.21249,0.380325
5.3976,1.21482,0.381113
5.4132,1.21713,0.381877
5.4288,1.21948,0.382689
5.4444,1.22179,0.383469
5.46,1.22408,0.384213
5.4756,1.22636,0.38495
5.4912,1.22862,0.385643
5.5068,1.23088,0.386363
5.5224,1.23312,0.387046
5.538,1.23533,0.387691
5.5536,1.23752,0.388313
5.5692,1.23973,0.388979
5.5848,1.24192,0.389614
5.6004,1.24411,0.390254
5.616,1.24631,0.390907
5.6316,1.24851,0.391578
5.6472,1.25069,0.392214
5.6628,1.25285,0.392831
5.6784,1.255,0.393445
5.694,1.2572,0.394131
5.7096,1.25942,0.394867
5.7252,1.26161,0.39556
5.7408,1.26378,0.396216
5.7564,1.26593,0.396848
5.772,1.26806,0.397452
5.7876,1.27018,0.39805
5.8032,1.27226,0.398604
5.8188,1.27438,0.399202
5.8344,1.27648,0.399797
5.85,1.27857,0.400373
5.8656,1.28065,0.400929
5.8812,1.28274,0.401527
5.8968,1.2848,0.402058
5.9124,1.28685,0.402602
5.928,1.28891,0.403152
5.9436,1.29094,0.403674
5.9592,1.29298,0.404203
5.9748,1.295,0.404718
5.9904,1.29703,0.405245
6.006,1.29903,0.405739
6.0216,1.30101,0.406204
6.0372,1.30298,0.406652
6.0528,1.30496,0.407134
6.0684,1.30695,0.407627
6.084,1.30892,0.408106
6.0996,1.31087,0.408547
6.1152,1.31283,0.409005
6.1308,1.31475,0.409415
6.1464,1.31665,0.409809
6.162,1.31857,0.410226
6.1776,1.32046,0.410615
6.1932,1.32235,0.410993
6.2088,1.32421,0.411349
