Position,Flux 
7.88,0.9255
7.9,1.056
7.92,1.017
7.94,1.0815
7.96,1.1205
7.98,1.095
8,34.05
8.02,37.55
8.04,38.65
8.06,41.95
8.08,40.2
8.1,40.4
8.12,41.1
8.14,44.5
8.16,43.15
8.18,44.75
8.2,44.85
8.22,44.95
8.24,46.55
8.26,47.85
8.28,46.55
8.3,51.7
8.32,53.25
8.34,51.9
8.36,51.8
8.38,58.75
8.4,54.25
8.42,60.05
8.44,58.85
8.46,54.9
8.48,61.05
8.5,60.4
8.52,63.45
8.54,61.15
8.56,64.8
8.58,67.55
8.6,68.05
8.62,68.05
8.64,72.3
8.66,73.4
8.68,67.9
8.7,75.9
8.72,74.95
8.74,80.15
8.76,78.05
8.78,81.5
8.8,82.8
8.82,85.8
8.84,85.5
8.86,91.65
8.88,86.7
8.9,92.85
8.92,92.95
8.94,96.3
8.96,99.9
8.98,97.65
9,100.25
9.02,102.1
9.04,103.4
9.06,108.6
9.08,105.3
9.1,111.05
9.12,111.6
9.14,114.8
9.16,110.5
9.18,114.7
9.2,121.65
9.22,122.3
9.24,124.45
9.26,121.95
9.28,127.45
9.3,122.85
9.32,129.3
9.34,130.15
9.36,133.2
9.38,126.25
9.4,135.15
9.42,132.65
9.44,140.6
9.46,142.6
9.48,139.8
9.5,137.5
9.52,137.95
9.54,143.65
9.56,143.7
9.58,144
9.6,149.85
9.62,146.55
9.64,145.55
9.66,147.95
9.68,148.2
9.7,154.35
9.72,148.45
9.74,155.25
9.76,158.25
9.78,153.25
9.8,159.5
9.82,156.75
9.84,158.2
9.86,157.85
9.88,160.9
9.9,157.25
9.92,156.3
9.94,162.1
9.96,162.3
9.98,167.1
10,170.35
10.02,167.9
10.04,164.7
10.06,170.5
10.08,164.65
10.1,165.45
10.12,169.1
10.14,172.15
10.16,169.55
10.18,170.9
10.2,171.9
10.22,167.65
10.24,172.9
10.26,170.75
10.28,173.6
10.3,173.95
10.32,170.85
10.34,173.35
10.36,172.05
10.38,170.6
10.4,175.75
10.42,175.7
10.44,173.35
10.46,173.9
10.48,180.35
10.5,175.9
10.52,187.5
10.54,176.45
10.56,178.6
10.58,179.25
10.6,181.85
10.62,181.05
10.64,185.25
10.66,183.45
10.68,181.4
10.7,183.3
10.72,185.35
10.74,178.6
10.76,185.05
10.78,182.85
10.8,182.6
10.82,184.85
10.84,186.2
10.86,187.95
10.88,186
10.9,181.45
10.92,188.4
10.94,193.1
10.96,185.55
10.98,185.6
11,184.6
11.02,187.25
11.04,194.25
11.06,185.7
11.08,184.9
11.1,185.95
11.12,193.35
11.14,190.95
11.16,191.6
11.18,189.2
11.2,188.55
11.22,192.8
11.24,185.65
11.26,188.4
11.28,185.35
11.3,191.9
11.32,188.8
11.34,197.7
11.36,193
11.38,189.1
11.4,187.95
11.42,194.85
11.44,190.65
11.46,191
11.48,190.95
11.5,187.45
11.52,191.9
11.54,191.45
11.56,195.35
11.58,187.9
11.6,195.2
11.62,194.5
11.64,198.1
11.66,200.5
11.68,194.35
11.7,192.45
11.72,195.05
11.74,198
11.76,195.55
11.78,191.05
11.8,195.9
11.82,195.5
11.84,194
11.86,197.95
11.88,197.3
11.9,197.6
11.92,191.3
11.94,201
11.96,195.1
11.98,200.7
12,195.6
12.02,194.3
12.04,191.4
12.06,196
12.08,199.9
12.1,193.7
12.12,195.15
12.14,194.1
12.16,201.65
12.18,199.3
12.2,196.85
12.22,200.75
12.24,197.05
12.26,196.4
12.28,196.9
12.3,199.75
12.32,195.25
12.34,196.05
12.36,192.8
12.38,198.75
12.4,200.25
12.42,192.3
12.44,198.9
12.46,196.65
12.48,194.5
12.5,200.65
12.52,205.15
12.54,192.65
12.56,198.75
12.58,198
12.6,198.1
12.62,196.9
12.64,197.3
12.66,199.3
12.68,200.2
12.7,199.15
12.72,199.3
12.74,193.5
12.76,198.25
12.78,198.5
12.8,199.8
12.82,200.2
12.84,200.6
12.86,206
12.88,200.75
12.9,199.1
12.92,200.95
12.94,202
12.96,198.25
12.98,202.25
13,0
13.02,0
13.04,0
13.06,0
13.08,0
13.1,0
13.12,0
13.14,0
13.16,0
13.18,0
13.2,0
13.22,0
13.24,0
13.26,0
13.28,0
13.3,0
13.32,0
13.34,0
13.36,0
13.38,0
13.4,0
13.42,0
13.44,0
13.46,0
13.48,0
13.5,0
13.52,0
13.54,0
13.56,0
13.58,0
13.6,0
13.62,0
13.64,0
13.66,0
13.68,0
13.7,0
13.72,0
13.74,0
13.76,0
13.78,0
13.8,0
13.82,0
13.84,0
13.86,0
13.88,0
13.9,0
13.92,0
13.94,0
13.96,0
13.98,0
14,0
14.02,0
14.04,0
14.06,0
14.08,0
14.1,0
14.12,0
14.14,0
14.16,0
14.18,0
14.2,0
14.22,0
14.24,0
14.26,0
14.28,0
14.3,0
14.32,0
14.34,0
14.36,0
14.38,0
14.4,0
14.42,0
14.44,0
14.46,0
14.48,0
14.5,0
14.52,0
14.54,0
14.56,0
14.58,0
14.6,0
14.62,0
14.64,0
14.66,0
14.68,0
14.7,0
14.72,0
14.74,0
14.76,0
14.78,0
14.8,0
14.82,0
14.84,0
14.86,0
14.88,0
14.9,0
14.92,0
14.94,0
14.96,0
14.98,0
15,0
15.02,0
15.04,0
15.06,0
15.08,0
15.1,0
15.12,0
15.14,0
15.16,0
15.18,0
15.2,0
15.22,0
15.24,0
15.26,0
15.28,0
15.3,0
15.32,0
15.34,0
15.36,0
15.38,0
15.4,0
15.42,0
15.44,0
15.46,0
15.48,0
