Position,Rx_rate
5.98,0.000108
6,9.00E-05
6.02,9.80E-05
6.04,0.000109
6.06,0.000112
6.08,0.000106
6.1,0.000138
6.12,0.000127
6.14,0.000124
6.16,0.000127
6.18,0.000122
6.2,0.000102
6.22,0.000127
6.24,0.000135
6.26,0.000134
6.28,0.000133
6.3,0.000135
6.32,0.000141
6.34,0.000152
6.36,0.000154
6.38,0.000131
6.4,0.000153
6.42,0.000177
6.44,0.000159
6.46,0.000167
6.48,0.000173
6.5,0.000172
6.52,0.000164
6.54,0.000162
6.56,0.000168
6.58,0.000162
6.6,0.000199
6.62,0.000174
6.64,0.000184
6.66,0.000209
6.68,0.000208
6.7,0.000194
6.72,0.000187
6.74,0.000198
6.76,0.000208
6.78,0.000234
6.8,0.000244
6.82,0.000233
6.84,0.000259
6.86,0.000202
6.88,0.000247
6.9,0.000228
6.92,0.000242
6.94,0.000232
6.96,0.000267
6.98,0.000274
7,0.000274
7.02,0.000277
7.04,0.000268
7.06,0.00028
7.08,0.000299
7.1,0.00027
7.12,0.000294
7.14,0.000282
7.16,0.000322
7.18,0.000332
7.2,0.000337
7.22,0.000369
7.24,0.000346
7.26,0.000316
7.28,0.000358
7.3,0.000357
7.32,0.000352
7.34,0.000385
7.36,0.000384
7.38,0.000352
7.4,0.000403
7.42,0.0004
7.44,0.000442
7.46,0.000415
7.48,0.000439
7.5,0.000439
7.52,0.000446
7.54,0.000469
7.56,0.0005
7.58,0.000519
7.6,0.000514
7.62,0.000496
7.64,0.000562
7.66,0.000548
7.68,0.00053
7.7,0.000583
7.72,0.000521
7.74,0.000649
7.76,0.000594
7.78,0.00059
7.8,0.000607
7.82,0.000617
7.84,0.00063
7.86,0.000627
7.88,0.000694
7.9,0.000676
7.92,0.000684
7.94,0.000706
7.96,0.000734
7.98,0.000745
8,0.000757
8.02,0.000739
8.04,0.000788
8.06,0.000758
8.08,0.000855
8.1,0.000823
8.12,0.000808
8.14,0.0009
8.16,0.000893
8.18,0.000853
8.2,0.000887
8.22,0.000897
8.24,0.000956
8.26,0.000975
8.28,0.000973
8.3,0.000983
8.32,0.000997
8.34,0.001033
8.36,0.001076
8.38,0.001121
8.4,0.001049
8.42,0.001236
8.44,0.001173
8.46,0.001236
8.48,0.001145
8.5,0.00126
8.52,0.001213
8.54,0.001291
8.56,0.00129
8.58,0.001274
8.6,0.001384
8.62,0.001378
8.64,0.001421
8.66,0.001405
8.68,0.001461
8.7,0.001513
8.72,0.001593
8.74,0.00161
8.76,0.001537
8.78,0.001614
8.8,0.00163
8.82,0.001723
8.84,0.001692
8.86,0.001799
8.88,0.001764
8.9,0.001726
8.92,0.001941
8.94,0.001895
8.96,0.001977
8.98,0.002028
9,0.002006
9.02,0.002109
9.04,0.002094
9.06,0.002109
9.08,0.002245
9.1,0.002221
9.12,0.002234
9.14,0.002249
9.16,0.002358
9.18,0.002324
9.2,0.002393
9.22,0.002365
9.24,0.002416
9.26,0.002397
9.28,0.002516
9.3,0.002489
9.32,0.002582
9.34,0.002622
9.36,0.002611
9.38,0.002611
9.4,0.00269
9.42,0.002693
9.44,0.002735
9.46,0.002778
9.48,0.002767
9.5,0.0028
9.52,0.002936
9.54,0.00282
9.56,0.002758
9.58,0.002894
9.6,0.002957
9.62,0.002967
9.64,0.002999
9.66,0.002895
9.68,0.002915
9.7,0.002983
9.72,0.003107
9.74,0.00302
9.76,0.003091
9.78,0.003176
9.8,0.003147
9.82,0.003025
9.84,0.00311
9.86,0.003145
9.88,0.003226
9.9,0.003147
9.92,0.003207
9.94,0.003241
9.96,0.003203
9.98,0.003227
10,0.00324
10.02,0.003244
10.04,0.003292
10.06,0.003379
10.08,0.003395
10.1,0.003368
10.12,0.003422
10.14,0.003321
10.16,0.003396
10.18,0.003476
10.2,0.003425
10.22,0.003427
10.24,0.003452
10.26,0.003457
10.28,0.003386
10.3,0.003456
10.32,0.003481
10.34,0.003524
10.36,0.003405
10.38,0.003597
10.4,0.003579
10.42,0.0035
10.44,0.003632
10.46,0.003326
10.48,0.003642
10.5,0.003469
10.52,0.003619
10.54,0.003559
10.56,0.003572
10.58,0.003596
10.6,0.003627
10.62,0.003566
10.64,0.003675
10.66,0.003582
10.68,0.003604
10.7,0.003616
10.72,0.003625
10.74,0.003623
10.76,0.003691
10.78,0.003534
10.8,0.003678
10.82,0.003682
10.84,0.003684
10.86,0.003611
10.88,0.003709
10.9,0.003711
10.92,0.003681
10.94,0.003584
10.96,0.003801
10.98,0.003692
11,0.003704
11.02,0.003905
11.04,0.003727
11.06,0.003741
11.08,0.00379
11.1,0.00368
11.12,0.003714
11.14,0.003784
11.16,0.003697
11.18,0.003686
11.2,0.003762
11.22,0.003824
11.24,0.003706
11.26,0.003799
11.28,0.003785
11.3,0.003835
11.32,0.003913
11.34,0.003828
11.36,0.003802
11.38,0.0038
11.4,0.00381
11.42,0.00382
11.44,0.003821
11.46,0.003809
11.48,0.003743
11.5,0.003778
11.52,0.003739
11.54,0.003932
11.56,0.003869
11.58,0.003816
11.6,0.003942
11.62,0.003911
11.64,0.003908
11.66,0.003913
11.68,0.003831
11.7,0.003974
11.72,0.003773
11.74,0.004049
11.76,0.003841
11.78,0.003926
11.8,0.003912
11.82,0.003873
11.84,0.003948
11.86,0.003928
11.88,0.003909
11.9,0.003867
11.92,0.003927
11.94,0.003938
11.96,0.003885
11.98,0.003917
12,0.003942
12.02,0.003865
12.04,0.00396
12.06,0.003901
12.08,0.003903
12.1,0.003977
12.12,0.003963
12.14,0.003935
12.16,0.003922
12.18,0.004025
12.2,0.004028
12.22,0.003858
12.24,0.003887
12.26,0.003873
12.28,0.00385
12.3,0.003909
12.32,0.003928
12.34,0.003972
12.36,0.004077
12.38,0.003974
12.4,0.004007
12.42,0.004016
12.44,0.00382
12.46,0.004001
12.48,0.00408
12.5,0.003947
12.52,0.004028
12.54,0.004042
12.56,0.003925
12.58,0.004104
12.6,0.003964
12.62,0.004003
12.64,0.003848
12.66,0.004054
12.68,0.004069
12.7,0.004038
12.72,0.004029
12.74,0.004078
12.76,0.003868
12.78,0.003938
12.8,0.00411
12.82,0.004007
12.84,0.004065
12.86,0.004036
12.88,0.003983
12.9,0.004127
12.92,0.004027
12.94,0.004126
12.96,0.004059
12.98,0.003988
13,0
13.02,0
13.04,0
13.06,0
13.08,0
13.1,0
13.12,0
13.14,0
13.16,0
13.18,0
13.2,0
13.22,0
13.24,0
13.26,0
13.28,0
13.3,0
13.32,0
13.34,0
13.36,0
13.38,0
13.4,0
13.42,0
13.44,0
13.46,0
13.48,0
13.5,0
13.52,0
13.54,0
13.56,0
13.58,0
13.6,0
13.62,0
13.64,0
13.66,0
13.68,0
13.7,0
13.72,0
13.74,0
13.76,0
13.78,0
13.8,0
13.82,0
13.84,0
13.86,0
13.88,0
13.9,0
13.92,0
13.94,0
13.96,0
13.98,0
14,0
14.02,0
14.04,0
14.06,0
14.08,0
14.1,0
14.12,0
14.14,0
14.16,0
14.18,0
14.2,0
14.22,0
14.24,0
14.26,0
14.28,0
14.3,0
14.32,0
14.34,0
14.36,0
14.38,0
14.4,0
14.42,0
14.44,0
14.46,0
14.48,0
14.5,0
14.52,0
14.54,0
14.56,0
14.58,0
14.6,0
14.62,0
14.64,0
14.66,0
14.68,0
14.7,0
14.72,0
14.74,0
14.76,0
14.78,0
14.8,0
14.82,0
14.84,0
14.86,0
14.88,0
14.9,0
14.92,0
14.94,0
14.96,0
14.98,0
15,0
15.02,0
15.04,0
15.06,0
15.08,0
15.1,0
15.12,0
15.14,0
15.16,0
15.18,0
15.2,0
15.22,0
15.24,0
15.26,0
15.28,0
15.3,0
15.32,0
15.34,0
15.36,0
15.38,0
15.4,0
15.42,0
15.44,0
15.46,0
15.48,0
15.5,0
15.52,0
15.54,0
15.56,0
15.58,0
15.6,0
15.62,0
15.64,0
15.66,0
15.68,0
15.7,0
15.72,0
15.74,0
15.76,0
15.78,0
15.8,0
15.82,0
15.84,0
15.86,0
15.88,0
15.9,0
15.92,0
15.94,0
15.96,0
15.98,0
16,0.003498
16.02,0.003426
16.04,0.003256
16.06,0.003458
16.08,0.003468
16.1,0.003453
16.12,0.003578
16.14,0.003342
16.16,0.003407
16.18,0.003464
16.2,0.003443
16.22,0.003468
16.24,0.003408
16.26,0.003334
16.28,0.003456
16.3,0.003364
16.32,0.003359
16.34,0.00336
16.36,0.003381
16.38,0.003416
16.4,0.003415
16.42,0.003422
16.44,0.003297
16.46,0.003453
16.48,0.003491
16.5,0.003514
16.52,0.003482
16.54,0.003378
16.56,0.003414
16.58,0.003456
16.6,0.0035
16.62,0.003421
16.64,0.003419
16.66,0.003467
16.68,0.00346
16.7,0.003432
16.72,0.003438
16.74,0.003383
16.76,0.003486
16.78,0.003463
16.8,0.003451
16.82,0.003397
16.84,0.0035
16.86,0.003553
16.88,0.003418
16.9,0.003512
16.92,0.003495
16.94,0.003516
16.96,0.003523
16.98,0.003551
17,0.003514
17.02,0.003493
17.04,0.003533
17.06,0.003435
17.08,0.003473
17.1,0.003514
17.12,0.003498
17.14,0.003572
17.16,0.003592
17.18,0.003592
17.2,0.003609
17.22,0.003602
17.24,0.003557
17.26,0.003567
17.28,0.003501
17.3,0.003579
17.32,0.003578
17.34,0.003552
17.36,0.003641
17.38,0.003527
17.4,0.00354
17.42,0.003637
17.44,0.003688
17.46,0.003627
17.48,0.003607
17.5,0.003667
17.52,0.003555
17.54,0.003636
17.56,0.003589
17.58,0.003725
17.6,0.003641
17.62,0.003594
17.64,0.003691
17.66,0.003609
17.68,0.003685
17.7,0.003682
17.72,0.003699
17.74,0.003668
17.76,0.003605
17.78,0.00372
17.8,0.003628
17.82,0.003685
17.84,0.003678
17.86,0.003711
17.88,0.003537
17.9,0.003755
17.92,0.003668
17.94,0.003685
17.96,0.003644
17.98,0.003703
18,0.003642
18.02,0.003655
18.04,0.003763
18.06,0.003738
18.08,0.003613
18.1,0.003787
18.12,0.003653
18.14,0.003748
18.16,0.003682
18.18,0.003806
18.2,0.003665
18.22,0.003597
18.24,0.003742
18.26,0.003659
18.28,0.003658
18.3,0.003693
18.32,0.003771
18.34,0.003676
18.36,0.00375
18.38,0.003752
18.4,0.003646
18.42,0.003857
18.44,0.003755
18.46,0.003686
18.48,0.003637
