K_eff is 1.00015
Position,Flux 
5.28039,5.66961
5.297,5.67164
5.3136,5.69133
5.33021,5.69036
5.34681,5.69016
5.36342,5.69904
5.38002,5.70208
5.39663,5.71586
5.41323,5.72187
5.42984,5.74068
5.44644,5.73211
5.46305,5.74026
5.47965,5.75759
5.49626,5.76197
5.51286,5.76557
5.52947,5.78021
5.54607,5.78948
5.56268,5.78697
5.57928,5.7974
5.59589,5.80778
5.61249,5.80882
5.6291,5.81902
5.6457,5.81555
5.66231,5.82605
5.67891,5.83922
5.69552,5.84434
5.71212,5.84831
5.72873,5.85824
5.74533,5.85305
5.76194,5.86457
5.77854,5.87526
5.79515,5.87588
5.81175,5.88553
5.82836,5.90398
5.84496,5.89897
5.86157,5.90902
5.87817,5.9059
5.89478,5.91908
5.91138,5.92409
5.92799,5.92808
5.94459,5.93311
5.9612,5.93887
5.9778,5.94489
5.99441,5.9562
6.01101,5.95628
6.02762,5.95933
6.04422,5.95254
6.06083,5.96411
6.07743,5.96829
6.09404,5.96897
6.11064,5.96965
6.12725,5.96572
6.14385,5.97275
6.16046,5.97996
6.17706,5.97578
6.19367,5.97466
6.21027,5.97385
6.22688,5.98061
6.24348,5.98485
6.26009,5.98426
6.27669,5.99014
6.2933,5.99905
6.3099,5.99949
6.32651,6.01241
6.34311,5.99919
6.35972,6.01052
6.37632,6.01013
6.39293,6.00888
6.40953,6.00569
6.42614,6.02153
6.44274,6.01596
6.45935,6.03222
6.47595,6.02546
6.49256,6.01661
6.50916,6.01454
6.52577,6.01475
6.54237,6.01667
6.55898,6.01852
6.57558,6.03301
6.59219,6.01996
6.60879,6.01321
6.6254,2.98983
6.642,3.04189
6.65861,6.03327
6.67521,6.03404
6.69182,6.03103
6.70842,6.0282
6.72503,6.03199
6.74163,6.02373
6.75824,6.02346
6.77484,6.01065
6.79145,6.03038
6.80805,6.03642
6.82466,6.02721
6.84126,6.03679
6.85787,6.02642
6.87447,6.0337
6.89108,6.03269
6.90768,6.04742
6.92429,6.03248
6.94089,6.03107
6.9575,6.02999
6.9741,6.03966
6.99071,6.04145
7.00731,6.03506
7.02392,6.03236
7.04052,6.02873
7.05713,6.03302
7.07373,6.02685
7.09034,6.02821
7.10694,6.02613
7.12355,6.02272
7.14015,6.01443
7.15676,6.01057
